
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 전국
기간 : 2014~2024 05~09

년월,폭염일수,평균 최고기온(℃)
2014-05,1.1,25.0
2014-06,0.2,26.8
2014-07,4.5,29.7
2014-08,0.9,27.7
2014-09,0.0,26.5
2015-05,0.4,25.1
2015-06,0.5,27.1
2015-07,3.1,28.7
2015-08,5.7,30.2
2015-09,0.0,26.2
2016-05,0.0,25.1
2016-06,0.1,27.2
2016-07,5.1,29.7
2016-08,16.6,32.0
2016-09,0.0,26.2
2017-05,0.4,25.4
2017-06,1.7,27.8
2017-07,5.9,30.6
2017-08,5.6,29.9
2017-09,0.0,26.3
2018-05,0.0,23.4
2018-06,1.5,27.8
2018-07,15.4,31.6
2018-08,14.1,32.2
2018-09,0.0,25.3
2019-05,0.5,25.5
2019-06,0.5,26.8
2019-07,3.0,29.1
2019-08,9.0,31.0
2019-09,0.0,26.5
2020-05,0.0,23.1
2020-06,1.9,28.0
2020-07,0.1,26.2
2020-08,5.7,30.5
2020-09,0.0,24.9
2021-05,0.0,22.2
2021-06,0.1,26.7
2021-07,8.1,30.8
2021-08,3.5,29.2
2021-09,0.0,25.8
2022-05,0.2,24.6
2022-06,1.6,27.2
2022-07,5.8,30.3
2022-08,2.9,29.1
2022-09,0.2,26.3
2023-05,0.2,23.6
2023-06,0.9,27.5
2023-07,4.1,29.6
2023-08,9.0,30.9
2023-09,0.0,27.1
2024-05,0.0,24.0
2024-06,2.8,28.4
2024-07,4.3,29.9
2024-08,16.9,33.0
2024-09,6.0,29.6

